,ref,creatorUrl,totalBytes,url,downloadCount,title,viewCount,voteCount,tags,size
0,ppb00x/country-gdp,ppb00x,7287,https://www.kaggle.com/datasets/ppb00x/country-gdp,970,Country_GDP,4386,33,"[business, government, social science, beginner, tabular, regression]",7KB
95,gianinamariapetrascu/gender-pay-gap-europe-2010-2021,gianinamariapetrascu,13928,https://www.kaggle.com/datasets/gianinamariapetrascu/gender-pay-gap-europe-2010-2021,786,💰 Gender Pay Gap - Europe (2010-2021),4421,29,"[europe, gender, income, government, demographics]",14KB
7,kapturovalexander/nvidia-amd-intel-asus-msi-share-prices,kapturovalexander,923909,https://www.kaggle.com/datasets/kapturovalexander/nvidia-amd-intel-asus-msi-share-prices,436,"NVIDIA, AMD, Intel, ASUS, MSI share prices (GPU)",2742,30,"[business, finance, time series analysis, regression, investing, gpu]",902KB
1,erdemtaha/cancer-data,erdemtaha,49810,https://www.kaggle.com/datasets/erdemtaha/cancer-data,3340,Cancer Data,18909,77,"[categorical, classification, deep learning, cancer, english]",49KB
3,ulrikthygepedersen/fastfood-nutrition,ulrikthygepedersen,12104,https://www.kaggle.com/datasets/ulrikthygepedersen/fastfood-nutrition,3117,Fastfood Nutrition,16633,62,"[nutrition, health, beginner, intermediate, classification, food]",12KB
38,kreeshrajani/breast-cancer-survival-dataset,kreeshrajani,9870,https://www.kaggle.com/datasets/kreeshrajani/breast-cancer-survival-dataset,879,🎗️ Breast Cancer Survival Dataset,5484,38,[cancer],10KB
2,omartorres25/honda-data,omartorres25,188396,https://www.kaggle.com/datasets/omartorres25/honda-data,1161,Honda Cars Data,5622,31,"[automobiles and vehicles, beginner, intermediate, data cleaning, tabular]",184KB
148,ulrikthygepedersen/meat-consumption,ulrikthygepedersen,140163,https://www.kaggle.com/datasets/ulrikthygepedersen/meat-consumption,1205,Meat Consumption,8329,27,"[nutrition, business, beginner, intermediate, regression, food]",137KB
21,usamabuttar/world-happiness-report-2005-present,usamabuttar,126221,https://www.kaggle.com/datasets/usamabuttar/world-happiness-report-2005-present,2018,"World Happiness Report, 2005-Present",10917,47,"[mental health, religion and belief systems, finance, health, economics, tabular]",123KB
103,neuromusic/avocado-prices,neuromusic,643781,https://www.kaggle.com/datasets/neuromusic/avocado-prices,225504,Avocado Prices,1156961,3386,[food],629KB
4,rkiattisak/student-performance-in-mathematics,rkiattisak,8871,https://www.kaggle.com/datasets/rkiattisak/student-performance-in-mathematics,8743,Student performance prediction,50659,185,"[education, beginner, data analytics, classification, tabular]",9KB
5,ppb00x/credit-risk-customers,ppb00x,18728,https://www.kaggle.com/datasets/ppb00x/credit-risk-customers,1069,credit_risk_customers,6488,34,"[banking, classification, tabular, english]",18KB
6,arnabchaki/data-science-salaries-2023,arnabchaki,26034,https://www.kaggle.com/datasets/arnabchaki/data-science-salaries-2023,1333,Data Science Salaries 2023  💸,8088,39,"[business, computer science, data visualization, classification, jobs and career]",25KB
78,rkiattisak/salaly-prediction-for-beginer,rkiattisak,3277,https://www.kaggle.com/datasets/rkiattisak/salaly-prediction-for-beginer,2490,Salary Prediction dataset,12259,55,"[beginner, data analytics, tabular, regression, jobs and career]",3KB
