,ref,creatorUrl,totalBytes,url,downloadCount,title,viewCount,voteCount,tags,size
207,fivethirtyeight/fivethirtyeight-comic-characters-dataset,kaggleteam,611306,https://www.kaggle.com/datasets/fivethirtyeight/fivethirtyeight-comic-characters-dataset,22652,FiveThirtyEight Comic Characters Dataset,153514,3475,"[business, politics, comics and animation]",597KB
1695,ophi/mpi,crawford,19713,https://www.kaggle.com/datasets/ophi/mpi,6289,Multidimensional Poverty Measures,45953,163,"[public health, finance, government, social science, demographics]",19KB
186,unsdsn/world-happiness,timoboz,37692,https://www.kaggle.com/datasets/unsdsn/world-happiness,258290,World Happiness Report,1410891,3831,"[arts and entertainment, religion and belief systems, social science, economics, news]",37KB
394,mohansacharya/graduate-admissions,mohansacharya,9867,https://www.kaggle.com/datasets/mohansacharya/graduate-admissions,87338,Graduate Admission 2 ,582191,1767,"[universities and colleges, linear regression, tabular, regression, standardized testing]",10KB
1394,muratkokludataset/acoustic-extinguisher-fire-dataset,muratkokludataset,635619,https://www.kaggle.com/datasets/muratkokludataset/acoustic-extinguisher-fire-dataset,3046,Acoustic Extinguisher Fire Dataset,34336,1655,"[categorical, artificial intelligence, computer science, classification, binary classification]",621KB
125,rashikrahmanpritom/heart-attack-analysis-prediction-dataset,rashikrahmanpritom,4209,https://www.kaggle.com/datasets/rashikrahmanpritom/heart-attack-analysis-prediction-dataset,124104,Heart Attack Analysis & Prediction Dataset,774444,3014,"[health, classification, binary classification, health conditions, heart conditions]",4KB
98,uciml/breast-cancer-wisconsin-data,overratedgman,49796,https://www.kaggle.com/datasets/uciml/breast-cancer-wisconsin-data,279254,Breast Cancer Wisconsin (Diagnostic) Data Set,1615209,3062,"[healthcare, cancer]",49KB
184,nehalbirla/vehicle-dataset-from-cardekho,nehalbirla,299060,https://www.kaggle.com/datasets/nehalbirla/vehicle-dataset-from-cardekho,102192,Vehicle dataset,501676,789,"[business, automobiles and vehicles, linear regression]",292KB
443,crawford/80-cereals,crawford,2298,https://www.kaggle.com/datasets/crawford/80-cereals,44086,80 Cereals,295656,552,"[nutrition, food]",2KB
82,uciml/pima-indians-diabetes-database,kaggleteam,9128,https://www.kaggle.com/datasets/uciml/pima-indians-diabetes-database,374505,Pima Indians Diabetes Database,1906703,3562,"[india, healthcare, earth and nature, health, diabetes]",9KB
103,neuromusic/avocado-prices,neuromusic,643781,https://www.kaggle.com/datasets/neuromusic/avocado-prices,225504,Avocado Prices,1156961,3386,[food],629KB
129,spscientist/students-performance-in-exams,spscientist,8907,https://www.kaggle.com/datasets/spscientist/students-performance-in-exams,218241,Students Performance in Exams,1324086,3700,"[education, exploratory data analysis, data visualization, standardized testing]",9KB
204,sakshigoyal7/credit-card-customers,sakshigoyal7,387771,https://www.kaggle.com/datasets/sakshigoyal7/credit-card-customers,80527,Credit Card customers,692349,1875,"[business, lending, banking, e-commerce services]",379KB
687,muratkokludataset/pumpkin-seeds-dataset,muratkokludataset,402721,https://www.kaggle.com/datasets/muratkokludataset/pumpkin-seeds-dataset,3385,Pumpkin Seeds Dataset,30869,1470,"[categorical, agriculture, computer science, computer vision, classification]",393KB
573,wsj/college-salaries,mrisdal,16830,https://www.kaggle.com/datasets/wsj/college-salaries,35593,Where it Pays to Attend College,245816,830,"[universities and colleges, employment, business, education, jobs and career]",16KB
121,mirichoi0218/insurance,mirichoi0218,16425,https://www.kaggle.com/datasets/mirichoi0218/insurance,177347, Medical Cost Personal Datasets,1121128,2217,"[healthcare, education, finance, health, insurance]",16KB
621,piterfm/2022-ukraine-russian-war,piterfm,14105,https://www.kaggle.com/datasets/piterfm/2022-ukraine-russian-war,22076,2022 Russia Ukraine War,178076,906,"[russia, history, business, military, time series analysis, tabular]",14KB
169,vjchoudhary7/customer-segmentation-tutorial-in-python,vjchoudhary7,1583,https://www.kaggle.com/datasets/vjchoudhary7/customer-segmentation-tutorial-in-python,120321,Mall Customer Segmentation Data,652159,1434,"[business, clustering, investing]",2KB
386,jealousleopard/goodreadsbooks,jealousleopard,637338,https://www.kaggle.com/datasets/jealousleopard/goodreadsbooks,52727,Goodreads-books,354756,1629,"[literature, business, demographics, linguistics, internet]",622KB
193,kumarajarshi/life-expectancy-who,kumarajarshi,121472,https://www.kaggle.com/datasets/kumarajarshi/life-expectancy-who,91596,Life Expectancy (WHO),654906,968,"[global, health, social science, data cleaning]",119KB
137,uciml/red-wine-quality-cortez-et-al-2009,sohier,26176,https://www.kaggle.com/datasets/uciml/red-wine-quality-cortez-et-al-2009,178179,Red Wine Quality,1114403,2422,"[alcohol, earth and nature, education, beginner]",26KB
