Competition Launch Date,Title of Competition,Competition URL
08/03/2010 00:00:00,Chess ratings - Elo versus the Rest of the World,https://www.kaggle.com/c/2447
11/23/2010 00:00:00,RTA Freeway Travel Time Prediction,https://www.kaggle.com/c/2467
12/13/2010 09:22:46,Predict Grant Applications,https://www.kaggle.com/c/2445
11/08/2010 00:00:00,IJCNN Social Network Challenge,https://www.kaggle.com/c/2464
01/19/2011 00:00:00,Stay Alert! The Ford Challenge,https://www.kaggle.com/c/2478
02/28/2011 00:00:00,Don't Overfit!,https://www.kaggle.com/c/2489
04/04/2011 17:03:36,Heritage Health Prize,https://www.kaggle.com/c/2496
05/23/2011 13:42:42,Mapping Dark Matter,https://www.kaggle.com/c/2487
07/29/2011 20:23:14,dunnhumby's Shopper Challenge,https://www.kaggle.com/c/2518
09/24/2011 04:01:31,Semi-Supervised Feature Learning,https://www.kaggle.com/c/2549
03/20/2012 04:29:38,Eye Movements Verification and Identification Competition,https://www.kaggle.com/c/2742
03/16/2012 19:10:23,Predicting a Biological Response,https://www.kaggle.com/c/2780
05/14/2012 15:44:08,Psychopathy Prediction Based on Twitter Usage,https://www.kaggle.com/c/2860
04/26/2012 01:36:25,Million Song Dataset Challenge,https://www.kaggle.com/c/2799
05/04/2012 21:28:20,Online Product Sales,https://www.kaggle.com/c/2840
05/08/2012 17:56:40,Personality Prediction Based on Twitter Stream,https://www.kaggle.com/c/2895
06/18/2012 20:23:32,EMC Israel Data Science Challenge,https://www.kaggle.com/c/2958
07/10/2012 01:18:25,Practice Fusion Diabetes Classification,https://www.kaggle.com/c/2984
07/21/2012 13:00:00,EMI Music Data Science Hackathon - July 21st - 24 hours,https://www.kaggle.com/c/2963
08/18/2012 16:09:06,Data Mining Hackathon on BIG DATA (7GB) Best Buy mobile web site,https://www.kaggle.com/c/3064
07/18/2012 21:39:39,Raising Money to Fund an Organizational Mission,https://www.kaggle.com/c/2863
08/18/2012 16:10:00,Data Mining Hackathon on (20 mb) Best Buy mobile web site - ACM SF Bay Area Chapter,https://www.kaggle.com/c/3080
08/21/2012 16:10:25,Predict Closed Questions on Stack Overflow,https://www.kaggle.com/c/3043
12/14/2012 01:51:12,Traveling Santa Problem,https://www.kaggle.com/c/3294
01/11/2013 00:57:00,Event Recommendation Engine Challenge,https://www.kaggle.com/c/3288
01/25/2013 18:13:24,Blue Book for Bulldozers,https://www.kaggle.com/c/3316
04/19/2013 22:45:55,KDD Cup 2013 - Author Disambiguation Challenge (Track 2),https://www.kaggle.com/c/3446
04/12/2013 23:11:36,Challenges in Representation Learning: The Black Box Learning Challenge,https://www.kaggle.com/c/3366
04/18/2013 03:47:19,KDD Cup 2013 - Author-Paper Identification Challenge (Track 1),https://www.kaggle.com/c/3445
05/10/2013 20:15:46,The ICML 2013 Whale Challenge - Right Whale Redux,https://www.kaggle.com/c/3509
05/29/2013 19:56:38,Amazon.com - Employee Access Challenge,https://www.kaggle.com/c/3338
03/29/2013 07:25:18,Cause-effect pairs,https://www.kaggle.com/c/3370
07/08/2013 18:45:00,AMS 2013-2014 Solar Energy Prediction Contest,https://www.kaggle.com/c/3354
06/17/2013 23:50:58,MLSP 2013 Bird Classification Challenge,https://www.kaggle.com/c/3517
07/23/2013 16:32:24,Accelerometer Biometric Competition,https://www.kaggle.com/c/3524
08/16/2013 20:12:24,StumbleUpon Evergreen Classification Challenge,https://www.kaggle.com/c/3526
08/16/2013 17:25:30,The Big Data Combine Engineered by BattleFin,https://www.kaggle.com/c/3540
09/03/2013 17:03:55,Personalize Expedia Hotel Searches - ICDM 2013,https://www.kaggle.com/c/3504
09/28/2013 03:00:00,See Click Predict Fix - Hackathon,https://www.kaggle.com/c/3403
09/29/2013 01:09:14,See Click Predict Fix,https://www.kaggle.com/c/3599
10/16/2013 21:40:27,Multi-label Bird Species Classification - NIPS 2013,https://www.kaggle.com/c/3645
10/11/2013 15:43:12,Personalized Web Search Challenge,https://www.kaggle.com/c/3532
12/20/2013 23:25:50,Galaxy Zoo - The Galaxy Challenge,https://www.kaggle.com/c/3175
01/22/2014 17:04:10,Large Scale Hierarchical Text Classification,https://www.kaggle.com/c/3634
02/05/2014 20:00:13,CONNECTOMICS,https://www.kaggle.com/c/3774
