dataset_ref,ref,title,author,lastRunTime,language,kernelType,totalVotes
ppb00x/country-gdp,ppb00x/gdp-per-capita,GDP_per_capita,srihari p,2023-04-07 08:18:55,,,10
ppb00x/country-gdp,aleksapet98/gdp-eda-continents-economic-alliances,"GDP EDA, Continents, Economic Alliances ",Akipet98,2023-04-14 11:52:14,,,7
gianinamariapetrascu/gender-pay-gap-europe-2010-2021,gianinamariapetrascu/clustering-european-countries-gender-pay-gap,💰 Clustering European Countries - Gender Pay Gap ,Gianina-Maria Petrașcu,2023-03-28 18:16:42,,,27
gianinamariapetrascu/gender-pay-gap-europe-2010-2021,gianinamariapetrascu/spatial-regression-gender-inequality-index,🌍 Spatial regression - Gender Inequality Index,Gianina-Maria Petrașcu,2023-03-28 06:56:42,,,16
kapturovalexander/nvidia-amd-intel-asus-msi-share-prices,arnabchaki/nvidia-stock-price-prediction-0-99-r2-score,NVIDIA Stock Price Prediction - 0.99 R2 Score,randomarnab,2023-04-25 06:53:37,,,18
erdemtaha/cancer-data,guhbrandao/cancer-classification-97-accuracy,Cancer Classification 🦠 (97% Accuracy) ,GuhBrandao,2023-04-13 16:06:57,,,25
erdemtaha/cancer-data,vijay20213/cancer-prediction-with-98-accuracy,Cancer prediction with 98% accuracy,Vijay Takbhate,2023-04-07 06:28:06,,,18
ulrikthygepedersen/fastfood-nutrition,vijay20213/healthy-fast-foods-kmeans-and-visualization,Healthy fast foods (KMeans and visualization) ,Vijay Takbhate,2023-04-11 13:31:52,,,10
ulrikthygepedersen/fastfood-nutrition,abrish2003/eda-on-fast-food-nutrition,EDA on Fast food Nutrition,S B ABRISH AADITYA,2023-04-09 18:51:42,,,6
kreeshrajani/breast-cancer-survival-dataset,kreeshrajani/breast-cancer-survival-prediction-for-beginners,🎗️Breast Cancer Survival Prediction for Beginners,Kreesh Rajani,2023-03-24 09:24:57,,,11
kreeshrajani/breast-cancer-survival-dataset,micaeld/breast-cancer-survival-pycaret,🎗️ Breast Cancer Survival - Pycaret 🎗️,Micaeld,2023-04-03 18:29:05,,,9
omartorres25/honda-data,themeeemul/car-price-prediction-and-eda,Car_Price_Prediction and EDA,Uni Abihs,2023-04-25 01:38:35,,,9
omartorres25/honda-data,takkimsncn/honda-car-datasets-analysis,Honda Car Datasets Analysis,takkimsncn,2023-04-15 10:26:21,,,1
ulrikthygepedersen/meat-consumption,jesuisetudiant/meat-consumption-dataset-analysis,Meat_Consumption_Dataset_Analysis,Ali Naqvi,2023-03-28 16:15:22,,,6
ulrikthygepedersen/meat-consumption,ulrikthygepedersen/meat-consumption-getting-started,Meat Consumption - Getting Started,Ulrik Thyge Pedersen,2023-03-09 10:22:03,,,2
usamabuttar/world-happiness-report-2005-present,mudassarshaheen/happiness-eda-2005-2022,🌎 Happiness EDA 👌 ( 2005-2022),Mudassar Shaheen,2023-04-28 18:36:39,,,9
